id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
ORD010220,C00201,P019,Apr 04 2023,5,7881.62,livre,Casa,CMI,L002,2023-04-02
ORD017630,C02452,P013,Aug 07 2022,1,8151.71,DONE,meknes,cash,L037,2024-08-28
ORD003883,C00380,P018,08/07/2022,9,2846.55,livre,safi,CMI,L044,2024-09-05
ORD043792,C02100,P004,Oct 07 2023,6,6243.5,DONE,AGADIR,cash,L048,2024-10-25
ORD031499,C01185,P011,16/02/2023,1,9076.88,LIVRE,Beni Mellal,CMI,L040,2022-09-27
ORD042695,C01365,P017,06/08/2022,8,6454.42,DONE,CASA,carte,L015,2024-04-03
ORD043322,C00071,P002,06/07/2023,1,11340.8,annule,MEKNES,carte,L011,
ORD027988,C02869,P001,2024-03-01,1,12174.44,LIVRE,BENI MELLAL,PayPal,L007,2024-07-20
ORD030629,C02606,P013,Apr 16 2024,2,479.79,DONE,kénitra,PayPal,L015,2023-06-13
ORD001989,C02351,P019,Jul 20 2024,6,12691.58,en_cours,tetouan,PayPal,L047,
ORD020887,C02157,P019,12/05/2022,10,5263.09,livré,EL JADIDA,CMI,L028,2024-10-21
ORD005426,C00947,P014,2024-04-08,10,4125.07,livré,nador,virement,L020,2023-04-23
ORD046632,C00672,P006,30/08/2022,3,9419.26,OK,safi,CMI,L026,
ORD043851,C00302,P012,Aug 17 2023,8,4096.67,LIVRE,Agdir,carte,L030,2025-01-04
ORD026466,C00793,P012,2024-11-08,8,9505.16,en_cours,safi,CMI,L025,
ORD042668,C01829,P019,09/01/2022,8,9074.28,annulé,TNG,PayPal,L005,
ORD035578,C01127,P018,23/10/2023,6,5580.09,retourne,MARRAKECH,carte,L002,2023-01-18
ORD033205,C01429,P003,Aug 21 2022,8,12592.37,en_cours,EL JADIDA,PayPal,L047,
ORD034018,C02583,P001,24/07/2023,6,8328.46,livré,marrakech,cash,L004,2022-03-10
ORD016856,C01433,P015,2022-10-01,-7,10982.14,OK,RABAT,virement,L024,
ORD039496,C02852,P006,Jul 07 2023,8,12812.38,annule,tanger ,carte,L037,
ORD016953,C01763,P011,15/10/2022,9,14029.97,LIVRE,oujda,cash,L003,2024-04-21
ORD038573,C02224,P020,2023-09-06,5,4761.56,livre,Meknès,cash,L016,2024-11-26
ORD044997,C02685,P017,2023-09-26,9,11423.64,retourné,errachidia,carte,L009,2024-01-06
ORD032121,C01350,P010,2024-05-10,5,2356.26,en_cours,RABAT,PayPal,,
ORD043387,C01829,P003,04/09/2023,2,11079.4,LIVRE,TETOUAN,PayPal,L038,2023-09-13
ORD018806,C00255,P001,06/05/2023,3,6195.88,en_cours,Oujda ,carte,L010,
ORD014073,C00321,P002,2022-03-27,9,10495.19,DONE,nador,carte,,2023-04-04
ORD034464,C02644,P019,2023-02-23,6,7925.18,DONE,ERRACHIDIA,cash,L035,2022-06-11
ORD040180,C01370,P014,15/06/2023,2,2895.94,OK,ERRACHIDIA,CMI,L014,
ORD034022,C00473,P016,22/12/2023,2,11671.03,retourne,CASA,CMI,L038,2022-06-08
ORD021558,C02697,P004,2023-04-26,7,4632.86,KO,safi,CMI,L039,
ORD025814,C02536,P001,2023-06-24,9,9706.28,LIVRE,beni mellal,virement,L030,2024-09-09
ORD042310,C00925,P006,18/06/2022,1,1113.44,annule,casablanca ,PayPal,L047,
ORD019744,C02751,P007,08/11/2024,5,9068.08,LIVRE,NADOR,virement,L038,2024-09-13
ORD018738,C02889,P009,19/03/2023,2,4194.52,LIVRE,NADOR,carte,L007,2022-10-16
ORD012154,C00602,P016,Aug 04 2023,3,5223.29,en_cours,kenitra,PayPal,L038,
ORD005177,C02185,P017,2022-05-08,3,11909.99,en_cours,Oujda ,virement,L012,
ORD010002,C02940,P004,15/02/2022,3,10851.05,annule,Rbat,carte,L028,
ORD002386,C02017,P006,2022-05-02,4,9290.47,OK,TETOUAN,carte,L005,
ORD023747,C01002,P012,11/10/2023,5,7508.24,KO,casablanca,virement,,
ORD024439,C01024,P010,Sep 02 2024,9,5935.13,annulé,RABAT,CMI,L007,
