code_ville,nom_ville_standard,province,region_admin,zone_geo,population,code_postal
TNG,Tanger,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,Nord,1065601,90000
CAS,Casablanca,Casablanca,Casablanca-Settat,Centre,4270750,20000
RBT,Rabat,Rabat,Rabat-Salé-Kénitra,Centre,1655753,10000
FES,Fès,Fès,Fès-Meknès,Centre-Nord,1112072,30000
MRK,Marrakech,Marrakech,Marrakech-Safi,Centre-Sud,1070838,40000
AGA,Agadir,Agadir-Ida-Ou-Tanane,Souss-Massa,Sud,916101,80000
OUJ,Oujda,Oujda-Angad,Oriental,Est,609207,60000
MEK,Meknès,El Hajeb,Fès-Meknès,Centre-Nord,698350,50000
KEN,Kenitra,Kenitra,Rabat-Salé-Kénitra,Centre,431282,14000
TET,Tétouan,Tétouan,Tanger-Tétouan-Al Hoceïma,Nord,380787,93000
NAD,Nador,Nador,Oriental,Nord-Est,201000,62000
BNM,Béni Mellal,Béni Mellal,Béni Mellal-Khénifra,Centre,185579,23000
ELJ,El Jadida,El Jadida,Casablanca-Settat,Centre-Ouest,194934,24000
SAF,Safi,Safi,Marrakech-Safi,Centre-Sud,308508,46000
ERR,Errachidia,Errachidia,Drâa-Tafilalet,Sud,94000,52000
