id_date,jour,mois,trimestre,annee,semaine,libelle_jour,libelle_mois,est_weekend,est_ferie_maroc,periode_ramadan
20200101,1,1,1,2020,1,Mercredi,Janvier,False,True,False
20200102,2,1,1,2020,1,Jeudi,Janvier,False,False,False
20200103,3,1,1,2020,1,Vendredi,Janvier,False,False,False
20200104,4,1,1,2020,1,Samedi,Janvier,True,False,False
20200105,5,1,1,2020,1,Dimanche,Janvier,True,False,False
20200106,6,1,1,2020,2,Lundi,Janvier,False,False,False
20200107,7,1,1,2020,2,Mardi,Janvier,False,False,False
20200108,8,1,1,2020,2,Mercredi,Janvier,False,False,False
20200109,9,1,1,2020,2,Jeudi,Janvier,False,False,False
20200110,10,1,1,2020,2,Vendredi,Janvier,False,False,False
20200111,11,1,1,2020,2,Samedi,Janvier,True,True,False
20200112,12,1,1,2020,2,Dimanche,Janvier,True,False,False
20200113,13,1,1,2020,3,Lundi,Janvier,False,False,False
20200114,14,1,1,2020,3,Mardi,Janvier,False,False,False
20200115,15,1,1,2020,3,Mercredi,Janvier,False,False,False
20200116,16,1,1,2020,3,Jeudi,Janvier,False,False,False
20200117,17,1,1,2020,3,Vendredi,Janvier,False,False,False
20200118,18,1,1,2020,3,Samedi,Janvier,True,False,False
20200119,19,1,1,2020,3,Dimanche,Janvier,True,False,False
20200120,20,1,1,2020,4,Lundi,Janvier,False,False,False
20200121,21,1,1,2020,4,Mardi,Janvier,False,False,False
20200122,22,1,1,2020,4,Mercredi,Janvier,False,False,False
20200123,23,1,1,2020,4,Jeudi,Janvier,False,False,False
20200124,24,1,1,2020,4,Vendredi,Janvier,False,False,False
20200125,25,1,1,2020,4,Samedi,Janvier,True,False,False
20200126,26,1,1,2020,4,Dimanche,Janvier,True,False,False
20200127,27,1,1,2020,5,Lundi,Janvier,False,False,False
20200128,28,1,1,2020,5,Mardi,Janvier,False,False,False
20200129,29,1,1,2020,5,Mercredi,Janvier,False,False,False
20200130,30,1,1,2020,5,Jeudi,Janvier,False,False,False
20200131,31,1,1,2020,5,Vendredi,Janvier,False,False,False
20200201,1,2,1,2020,5,Samedi,Février,True,False,False
20200202,2,2,1,2020,5,Dimanche,Février,True,False,False
20200203,3,2,1,2020,6,Lundi,Février,False,False,False
20200204,4,2,1,2020,6,Mardi,Février,False,False,False
20200205,5,2,1,2020,6,Mercredi,Février,False,False,False
20200206,6,2,1,2020,6,Jeudi,Février,False,False,False
20200207,7,2,1,2020,6,Vendredi,Février,False,False,False
20200208,8,2,1,2020,6,Samedi,Février,True,False,False
20200209,9,2,1,2020,6,Dimanche,Février,True,False,False
20200210,10,2,1,2020,7,Lundi,Février,False,False,False
20200211,11,2,1,2020,7,Mardi,Février,False,False,False
20200212,12,2,1,2020,7,Mercredi,Février,False,False,False
20200213,13,2,1,2020,7,Jeudi,Février,False,False,False
20200214,14,2,1,2020,7,Vendredi,Février,False,False,False
20200215,15,2,1,2020,7,Samedi,Février,True,False,False
20200216,16,2,1,2020,7,Dimanche,Février,True,False,False
20200217,17,2,1,2020,8,Lundi,Février,False,False,False
20200218,18,2,1,2020,8,Mardi,Février,False,False,False
20200219,19,2,1,2020,8,Mercredi,Février,False,False,False
20200220,20,2,1,2020,8,Jeudi,Février,False,False,False
20200221,21,2,1,2020,8,Vendredi,Février,False,False,False
20200222,22,2,1,2020,8,Samedi,Février,True,False,False
20200223,23,2,1,2020,8,Dimanche,Février,True,False,False
20200224,24,2,1,2020,9,Lundi,Février,False,False,False
20200225,25,2,1,2020,9,Mardi,Février,False,False,False
20200226,26,2,1,2020,9,Mercredi,Février,False,False,False
20200227,27,2,1,2020,9,Jeudi,Février,False,False,False
20200228,28,2,1,2020,9,Vendredi,Février,False,False,False
20200229,29,2,1,2020,9,Samedi,Février,True,False,False
20200301,1,3,1,2020,9,Dimanche,Mars,True,False,False
20200302,2,3,1,2020,10,Lundi,Mars,False,False,False
20200303,3,3,1,2020,10,Mardi,Mars,False,False,False
20200304,4,3,1,2020,10,Mercredi,Mars,False,False,False
20200305,5,3,1,2020,10,Jeudi,Mars,False,False,False
20200306,6,3,1,2020,10,Vendredi,Mars,False,False,False
