id_date,id_produit,id_client,id_region,id_livreur,quantite_vendue,montant_ht,montant_ttc,cout_livraison,delai_livraison_jours,remise_pct,statut_commande
20230404,19,1,2,3,5,39408.1,47289.72,,,0.0,livré
20220807,13,2552,8,38,1,8151.71,9782.05,,,0.0,livré
20220708,18,1354,14,45,9,25618.95,30742.74,,,0.0,livré
20231007,4,2347,6,49,6,37461.0,44953.2,,,0.0,livré
20230216,11,1806,12,41,1,9076.88,10892.26,,,0.0,livré
20220806,17,146,2,16,8,51635.36,61962.43,,,0.0,livré
20230706,2,1,8,12,1,11340.8,13608.96,,,0.0,annulé
20240103,1,2787,12,8,1,12174.44,14609.33,,,0.0,livré
20240416,13,622,9,16,2,959.58,1151.5,,,0.0,livré
20240720,19,1135,10,48,6,76149.48,91379.38,,,0.0,en_cours
20220512,19,2383,13,29,10,52630.9,63157.08,,,0.0,livré
20240804,14,828,11,21,10,41250.7,49500.84,,,0.0,livré
20220830,6,1513,14,27,3,28257.78,33909.34,,,0.0,en_cours
20230817,12,1317,6,31,8,32773.36,39328.03,,,0.0,livré
20240811,12,1576,14,26,8,76041.28,91249.54,,,0.0,en_cours
20220109,19,2183,1,6,8,72594.24,87113.09,,,0.0,annulé
20231023,18,412,5,3,6,33480.54,40176.65,,,0.0,retourné
20220821,3,638,13,48,8,100738.96,120886.75,,,0.0,en_cours
20230724,1,2623,5,5,6,49970.76,59964.91,,,0.0,livré
20230707,6,285,1,38,8,102499.04,122998.85,,,0.0,annulé
20221015,11,2144,7,4,9,126269.73,151523.68,,,0.0,livré
20230609,20,465,8,17,5,23807.8,28569.36,,,0.0,livré
20230926,17,2681,15,10,9,102812.76,123375.31,,,0.0,retourné
20241005,10,336,3,1,5,11781.3,14137.56,,,0.0,en_cours
20230904,3,2183,10,39,2,22158.8,26590.56,,9.0,0.0,livré
20230506,1,1294,7,11,3,18587.64,22305.17,,,0.0,en_cours
20220327,2,388,11,1,9,94456.71,113348.05,,,0.0,livré
20230223,19,1031,15,36,6,47551.08,57061.3,,,0.0,livré
20230615,14,24,15,15,2,5791.88,6950.26,,,0.0,en_cours
20231222,16,734,2,39,2,23342.06,28010.47,,,0.0,retourné
20230426,4,514,14,40,7,32430.02,38916.02,,,0.0,annulé
20230624,1,999,12,31,9,87356.52,104827.82,,,0.0,livré
20220618,6,1647,2,48,1,1113.44,1336.13,,,0.0,annulé
20241108,7,1,11,39,5,45340.4,54408.48,,,0.0,livré
20230319,9,2799,11,8,2,8389.04,10066.85,,,0.0,livré
20230804,16,418,9,39,3,15669.87,18803.84,,,0.0,en_cours
20220805,17,823,7,13,3,35729.97,42875.96,,,0.0,en_cours
20220215,4,2838,3,29,3,32553.15,39063.78,,,0.0,annulé
20220205,6,2293,10,6,4,37161.88,44594.26,,,0.0,en_cours
20231011,12,209,2,1,5,37541.2,45049.44,,,0.0,annulé
20240902,10,1009,3,8,9,53416.17,64099.4,,,0.0,annulé
20240116,13,1838,4,46,5,59939.5,71927.4,,,0.0,livré
20231216,9,2614,3,10,5,26527.25,31832.7,,,0.0,livré
20220329,1,2299,4,15,2,16215.92,19459.1,,,0.0,retourné
20240627,15,447,8,9,5,38281.2,45937.44,,,0.0,livré
20241122,13,2540,13,17,10,136135.4,163362.48,,,0.0,livré
20241110,3,926,8,40,8,103003.12,123603.74,,,0.0,livré
20240718,4,589,3,10,1,12448.73,14938.48,,,0.0,livré
20230306,4,802,8,44,8,1114.24,1337.09,,,0.0,retourné
20230429,10,2370,3,43,4,30175.2,36210.24,,,0.0,en_cours
20230613,18,1240,14,1,2,25086.08,30103.3,,,0.0,retourné
20220411,9,1571,11,39,3,9352.5,11223.0,,,0.0,livré
20220305,1,175,10,33,10,103649.3,124379.16,,,0.0,en_cours
20220723,3,2708,10,51,1,9358.55,11230.26,,,0.0,en_cours
20220717,5,2696,1,13,5,23182.15,27818.58,,,0.0,livré
20241224,10,2406,12,4,4,42066.96,50480.35,,,0.0,livré
20220220,16,2770,13,41,10,118429.9,142115.88,,,0.0,livré
20230922,7,2815,3,5,7,61068.14,73281.77,,,0.0,annulé
20240103,13,1360,14,9,4,53748.12,64497.74,,,0.0,livré
20240320,11,1,15,9,9,107915.13,129498.16,,,0.0,livré
20221130,10,1462,10,25,7,22249.43,26699.32,,,0.0,en_cours
20220821,7,1,6,28,2,23956.56,28747.87,,,0.0,en_cours
20220520,2,265,6,31,7,50869.84,61043.81,,,0.0,livré
20230220,2,656,14,10,2,7800.14,9360.17,,,0.0,retourné
20220428,6,2229,13,40,1,2243.09,2691.71,,,0.0,en_cours
20240730,4,2101,13,24,3,29055.12,34866.14,,,0.0,en_cours
20221008,14,2619,14,35,6,48242.4,57890.88,,,0.0,livré
20220318,13,1838,3,18,7,42209.37,50651.24,,,0.0,livré
20241015,3,1942,3,28,10,95774.4,114929.28,,,0.0,livré
20220912,18,1447,9,24,5,60031.3,72037.56,,,0.0,en_cours
20220124,13,1938,9,45,6,31129.32,37355.18,,,0.0,livré
20221214,1,2425,15,13,2,5727.4,6872.88,,,0.0,livré
20240921,8,1077,10,11,5,18987.75,22785.3,,,0.0,livré
20230523,17,2339,8,18,2,23473.92,28168.7,,,0.0,retourné
20220421,15,2121,10,17,5,40523.45,48628.14,,,0.0,livré
20220221,18,1967,6,32,7,99825.67,119790.8,,,0.0,livré
20220110,10,1,6,35,3,21397.71,25677.25,,,0.0,livré
20221107,5,2464,10,10,6,26505.48,31806.58,,,0.0,en_cours
20221007,16,1674,13,46,6,35278.86,42334.63,,,0.0,livré
20240809,13,276,13,32,9,123177.78,147813.34,,,0.0,livré
20220226,18,1163,7,1,10,61145.7,73374.84,,,0.0,en_cours
20230206,12,727,3,9,9,131358.51,157630.21,,,0.0,livré
20230808,1,1950,15,27,10,81254.2,97505.04,,,0.0,livré
20231014,5,1118,10,10,3,13325.4,15990.48,,40.0,0.0,livré
20231210,4,1285,10,35,8,12427.84,14913.41,,,0.0,livré
20241207,20,2157,13,1,10,95059.5,114071.4,,,0.0,en_cours
20240101,10,1527,14,9,6,37500.84,45001.01,,,0.0,livré
20220307,10,930,11,23,7,24630.55,29556.66,,,0.0,livré
20241002,17,611,8,30,2,8958.1,10749.72,,,0.0,livré
20220812,4,1728,11,49,10,132734.6,159281.52,,,0.0,annulé
20220103,14,1446,13,37,5,71626.65,85951.98,,,0.0,livré
20231103,2,2827,15,15,2,116.38,139.66,,,0.0,livré
20221129,3,2015,9,1,2,24888.84,29866.61,,,0.0,en_cours
20230511,15,1594,6,1,5,9177.45,11012.94,,,0.0,livré
20241106,1,1046,4,28,4,48534.12,58240.94,,,0.0,livré
20230709,18,902,14,42,9,99944.28,119933.14,,,0.0,annulé
20220325,18,1421,7,30,2,19143.34,22972.01,,,0.0,en_cours
20240204,19,2236,6,45,5,20905.75,25086.9,,,0.0,livré
20230512,16,1449,7,4,1,3734.78,4481.74,,,0.0,livré
20240823,4,1962,10,13,7,100005.15,120006.18,,,0.0,livré
20230823,11,606,9,31,8,22694.32,27233.18,,,0.0,livré
20240516,12,459,2,5,8,80389.84,96467.81,,,0.0,retourné
20240614,19,2690,8,32,5,19411.0,23293.2,,,0.0,livré
20220630,8,1066,9,1,2,8109.24,9731.09,,,0.0,en_cours
20241016,1,827,2,1,10,134408.4,161290.08,,,0.0,en_cours
20220601,9,1523,1,28,9,121662.0,145994.4,,11.0,0.0,livré
20220602,2,1656,5,23,10,61317.8,73581.36,,,0.0,annulé
20220206,14,1248,14,26,2,28476.72,34172.06,,,0.0,livré
20240424,8,1458,14,23,7,51575.02,61890.02,,,0.0,livré
20230311,15,1,10,35,4,45616.84,54740.21,,,0.0,livré
20240625,13,2858,4,1,4,57766.8,69320.16,,,0.0,retourné
20240525,5,1632,12,1,3,4552.35,5462.82,,,0.0,livré
20230409,20,1988,6,50,1,1889.1,2266.92,,,0.0,livré
20240710,9,497,6,1,8,77665.52,93198.62,,,0.0,annulé
20241104,2,970,4,38,10,51460.3,61752.36,,,0.0,en_cours
20220821,5,2244,13,33,10,50028.3,60033.96,,,0.0,livré
20220922,17,1164,9,36,8,14349.12,17218.94,,,0.0,livré
20230203,6,809,10,2,7,70934.36,85121.23,,,0.0,livré
